name,folder,DNGavailable,JPGavailable,location,season,timeofday,ppt,imDateTime,imDateTime2,cameraSN,exposureT,Fnumber,aperture,ISO,shutter,focalLength,filtStats_1,filtStats_2,filtStats_3,meanMB_1,meanMB_2,meanMB_3,stdMB_1,stdMB_2,stdMB_3,NCE,AxisRatioNormed,EllipseAngle,EllipseArea,V1,TimeElapsed
G0022860.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:32:49,29-Sep-2021 17:16:58,C3281328896650,0.00833333333333333,2.8,2.970854,1384,6.906891,3,0,652,652,0.746680498959786,0.289007437135213,2.3049898472372e-06,0.0145360057572593,0.117498102526918,7.41292058059628e-07,-0.0640382044615687,0.862902635725658,88.9466748694631,0.00530788489899923,1,2.526975
G0022861.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:32:51,29-Sep-2021 17:17:28,C3281328896650,0.00833333333333333,2.8,2.970854,1332,6.906891,3,,,,,,,,,,,,,,,
G0022862.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:32:47,29-Sep-2021 17:17:58,C3281328896650,0.00833333333333333,2.8,2.970854,1322,6.906891,3,,,,,,,,,,,,,,,
G0022863.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:32:47,29-Sep-2021 17:18:28,C3281328896650,0.00666666666666667,2.8,2.970854,1578,7.228819,3,,,,,,,,,,,,,,,
G0022864.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:33:02,29-Sep-2021 17:18:58,C3281328896650,0.00833333333333333,2.8,2.970854,1287,6.906891,3,,,,,,,,,,,,,,,
G0022865.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:33:07,29-Sep-2021 17:19:28,C3281328896650,0.00833333333333333,2.8,2.970854,1286,6.906891,3,12474,108050,120524,0.748992401257996,0.282983039285445,2.1376642976981e-06,0.0191576325234132,0.214594628417871,1.73299448149851e-06,-0.0284828518578712,0.936520197717143,89.6623414769539,0.012887753308128,1,2.306704
G0022866.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:33:02,29-Sep-2021 17:19:58,C3281328896650,0.00833333333333333,2.8,2.970854,1280,6.906891,3,,,,,,,,,,,,,,,
G0022867.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:33:00,29-Sep-2021 17:20:28,C3281328896650,0.00833333333333333,2.8,2.970854,1276,6.906891,3,,,,,,,,,,,,,,,
G0022868.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:33:18,29-Sep-2021 17:20:58,C3281328896650,0.00833333333333333,2.8,2.970854,1269,6.906891,3,,,,,,,,,,,,,,,
G0022869.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:33:28,29-Sep-2021 17:21:28,C3281328896650,0.00555555555555556,2.8,2.970854,2400,7.491853,3,,,,,,,,,,,,,,,
G0022870.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:33:20,29-Sep-2021 17:21:58,C3281328896650,0.00833333333333333,2.8,2.970854,1751,6.906891,3,10107,105530,115637,0.742936894286336,0.355542335250517,1.55744574873729e-06,0.0296590372094969,0.319783422520709,2.48977272189196e-06,-0.0280820477930101,0.937384897543335,89.6539057610531,0.0297341541710648,1,2.48871
G0022871.GPR,C:\Users\Dr John Maule\Box\Norway Data Sharing\GoPro\GOpro Data_OSLO\AUTUMN 21\016 - Evening - blue,1,1,Oslo,Autumn,evening,16,24-Nov-2021 11:33:12,29-Sep-2021 17:22:28,C3281328896650,0.00256410256410256,2.8,2.970854,493,8.60733,3,,,,,,,,,,,,,,,
